Rating,Subject,Word,Naive,Language,word_length,Class,MeanFamiliarity
5,MtG,goat,naive,English,short,animal,1.9459101
2,MtG,lemon,naive,English,long,plant,0.6931472
1,MtG,walnut,naive,English,long,plant,0
4,MtG,snake,naive,English,long,animal,1.6094379
5,MtG,pig,naive,English,short,animal,2.7725887
6,MtG,crocodile,naive,English,long,animal,0
2,MtG,melon,naive,English,long,plant,1.0986123
3,MtG,owl,naive,English,short,animal,1.3862944
4,MtG,lettuce,naive,English,long,plant,0
7,MtG,horse,naive,English,long,animal,3.3322045
2,MtG,frog,naive,English,short,animal,2.0794415
2,MtG,carrot,naive,English,long,plant,0.6931472
0,MtG,hedgehog,naive,English,long,animal,0
7,MtG,camel,naive,English,long,animal,0.6931472
4,MtG,kiwi,naive,English,short,plant,0
2,MtG,gherkin,naive,English,long,plant,0
1,MtG,olive,naive,English,long,plant,1.0986123
1,MtG,beetroot,naive,English,long,plant,0
2,MtG,almond,naive,English,long,plant,0
2,MtG,grape,naive,English,long,plant,1.0986123
3,MtG,broccoli,naive,English,long,plant,0
0,MtG,peanut,naive,English,long,plant,0.6931472
0,MtG,bee,naive,English,short,animal,1.7917595
4,MtG,swan,naive,English,short,animal,1.3862944
1,MtG,strawberry,naive,English,long,plant,0
3,MtG,potato,naive,English,long,plant,0
2,MtG,cucumber,naive,English,long,plant,0
6,MtG,dolphin,naive,English,long,animal,0
4,MtG,cat,naive,English,short,animal,2.7725887
3,MtG,apricot,naive,English,long,plant,0
1,MtG,spider,naive,English,long,animal,0.6931472
4,MtG,dog,naive,English,short,animal,3.1354942
1,MtG,mustard,naive,English,long,plant,0
2,MtG,mole,naive,English,short,animal,1.0986123
2,MtG,apple,naive,English,long,plant,1.0986123
1,MtG,blackberry,naive,English,long,plant,0.6931472
4,MtG,beaver,naive,English,long,animal,0
1,MtG,tomato,naive,English,long,plant,0
4,MtG,vulture,naive,English,long,animal,0
5,MtG,reindeer,naive,English,long,animal,0
1,MtG,clove,naive,English,long,plant,0
3,MtG,banana,naive,English,long,plant,0
2,MtG,magpie,naive,English,long,animal,0
0,MtG,bat,naive,English,short,animal,2.1972246
7,MtG,elephant,naive,English,long,animal,0.6931472
2,MtG,avocado,naive,English,long,plant,0
3,MtG,monkey,naive,English,long,animal,0
7,MtG,lion,naive,English,short,animal,1.0986123
4,MtG,stork,naive,English,long,animal,0
1,MtG,mushroom,naive,English,long,plant,0.6931472
1,Sa1,frog,naive,English,short,animal,2.0794415
2,Sa1,beetroot,naive,English,long,plant,0
2,Sa1,leek,naive,English,short,plant,0
5,Sa1,owl,naive,English,short,animal,1.3862944
0,Sa1,peanut,naive,English,long,plant,0.6931472
2,Sa1,walnut,naive,English,long,plant,0
2,Sa1,apple,naive,English,long,plant,1.0986123
2,Sa1,spider,naive,English,long,animal,0.6931472
4,Sa1,swan,naive,English,short,animal,1.3862944
2,Sa1,butterfly,naive,English,long,animal,0
5,Sa1,goat,naive,English,short,animal,1.9459101
3,Sa1,fox,naive,English,short,animal,1.7917595
1,Sa1,melon,naive,English,long,plant,1.0986123
5,Sa1,donkey,naive,English,long,animal,0
3,Sa1,asparagus,naive,English,long,plant,0
4,Sa1,pigeon,naive,English,long,animal,1.0986123
3,Sa1,bunny,naive,English,long,animal,0
2,Sa1,clove,naive,English,long,plant,0
1,Sa1,paprika,naive,English,long,plant,0
1,Sa1,olive,naive,English,long,plant,1.0986123
7,Sa1,horse,naive,English,long,animal,3.3322045
2,Sa1,pineapple,naive,English,long,plant,0
7,Sa1,moose,naive,English,long,animal,0
3,Sa1,banana,naive,English,long,plant,0
1,Sa1,lemon,naive,English,long,plant,0.6931472
7,Sa1,lion,naive,English,short,animal,1.0986123
3,Sa1,pig,naive,English,short,animal,2.7725887
2,Sa1,grape,naive,English,long,plant,1.0986123
2,Sa1,pear,naive,English,short,plant,0
2,Sa1,mustard,naive,English,long,plant,0
1,Sa1,ant,naive,English,short,animal,1.3862944
3,Sa1,wasp,naive,English,short,animal,1.3862944
4,Sa1,sheep,naive,English,long,animal,2.3025851
2,Sa1,woodpecker,naive,English,long,animal,0
3,Sa1,orange,naive,English,long,plant,1.3862944
3,Sa1,vulture,naive,English,long,animal,0
3,Sa1,strawberry,naive,English,long,plant,0
5,Sa1,dog,naive,English,short,animal,3.1354942
4,Sa1,chicken,naive,English,long,animal,1.0986123
1,Sa1,mushroom,naive,English,long,plant,0.6931472
4,Sa1,monkey,naive,English,long,animal,0
1,Sa1,tomato,naive,English,long,plant,0
3,Sa1,mole,naive,English,short,animal,1.0986123
2,Sa1,badger,naive,English,long,animal,0.6931472
2,Sa1,potato,naive,English,long,plant,0
4,Sa1,snake,naive,English,long,animal,1.6094379
7,Sa1,camel,naive,English,long,animal,0.6931472
1,Sa1,radish,naive,English,long,plant,0.6931472
3,Sa1,magpie,naive,English,long,animal,0
1,Sa1,mouse,naive,English,long,animal,1.9459101
3,Sa1,gull,naive,English,short,animal,1.6094379
5,Sa1,crocodile,naive,English,long,animal,0
2,Sa1,bee,naive,English,short,animal,1.7917595
1,Sa1,almond,naive,English,long,plant,0
3,Sa1,broccoli,naive,English,long,plant,0
3,Sa1,carrot,naive,English,long,plant,0.6931472
3,Sa1,gherkin,naive,English,long,plant,0
4,Sa1,shark,naive,English,long,animal,0.6931472
2,Sa1,avocado,naive,English,long,plant,0
2,Sa1,blueberry,naive,English,long,plant,0
4,Sa1,dolphin,naive,English,long,animal,0
2,Sa1,cat,naive,English,short,animal,2.7725887
3,Sa1,beaver,naive,English,long,animal,0
8,Sa1,elephant,naive,English,long,animal,0.6931472
2,Sa1,apricot,naive,English,long,plant,0
2,Sa1,tortoise,naive,English,long,animal,0
3,Sa1,goose,naive,English,long,animal,1.7917595
3,Sa1,squid,naive,English,long,animal,0
2,Sa1,lettuce,naive,English,long,plant,0
3,Sa1,squirrel,naive,English,long,animal,0
2,Sa1,cherry,naive,English,long,plant,0.6931472
6,Sa1,whale,naive,English,long,animal,1.0986123
3,Sa1,eagle,naive,English,long,animal,1.0986123
2,Sa1,eggplant,naive,English,long,plant,0
2,Sa1,hedgehog,naive,English,long,animal,0
3,Sa1,kiwi,naive,English,short,plant,0
3,Sa1,bat,naive,English,short,animal,2.1972246
0,Sa1,blackberry,naive,English,long,plant,0.6931472
5,Sa1,stork,naive,English,long,animal,0
5,Sa1,reindeer,naive,English,long,animal,0
3,Sa1,cucumber,naive,English,long,plant,0
6,Me,donkey,naive,English,long,animal,0
2,Me,wasp,naive,English,short,animal,1.3862944
3,Me,cat,naive,English,short,animal,2.7725887
0,Me,peanut,naive,English,long,plant,0.6931472
3,Me,bat,naive,English,short,animal,2.1972246
2,Me,swan,naive,English,short,animal,1.3862944
4,Me,pig,naive,English,short,animal,2.7725887
1,Me,blackberry,naive,English,long,plant,0.6931472
5,Me,lion,naive,English,short,animal,1.0986123
2,Me,tomato,naive,English,long,plant,0
7,Me,camel,naive,English,long,animal,0.6931472
7,Me,elephant,naive,English,long,animal,0.6931472
2,Me,carrot,naive,English,long,plant,0.6931472
3,Me,woodpecker,naive,English,long,animal,0
1,Me,blueberry,naive,English,long,plant,0
2,Me,radish,naive,English,long,plant,0.6931472
1,Me,potato,naive,English,long,plant,0
2,Me,bee,naive,English,short,animal,1.7917595
5,Me,crocodile,naive,English,long,animal,0
3,Me,broccoli,naive,English,long,plant,0
2,Me,cherry,naive,English,long,plant,0.6931472
2,Me,grape,naive,English,long,plant,1.0986123
7,Me,horse,naive,English,long,animal,3.3322045
3,Me,goose,naive,English,long,animal,1.7917595
2,Me,mole,naive,English,short,animal,1.0986123
2,Me,leek,naive,English,short,plant,0
2,Me,gull,naive,English,short,animal,1.6094379
3,Me,gherkin,naive,English,long,plant,0
1,Me,orange,naive,English,long,plant,1.3862944
5,Me,reindeer,naive,English,long,animal,0
3,Me,mouse,naive,English,long,animal,1.9459101
2,Me,butterfly,naive,English,long,animal,0
3,Me,monkey,naive,English,long,animal,0
4,Me,pineapple,naive,English,long,plant,0
3,Me,mustard,naive,English,long,plant,0
4,Me,snake,naive,English,long,animal,1.6094379
4,Me,stork,naive,English,long,animal,0
1,Me,beetroot,naive,English,long,plant,0
5,Me,shark,naive,English,long,animal,0.6931472
4,Me,magpie,naive,English,long,animal,0
3,Me,cucumber,naive,English,long,plant,0
3,Me,owl,naive,English,short,animal,1.3862944
3,Me,apricot,naive,English,long,plant,0
3,Me,beaver,naive,English,long,animal,0
2,Me,lemon,naive,English,long,plant,0.6931472
2,Me,walnut,naive,English,long,plant,0
5,Me,goat,naive,English,short,animal,1.9459101
6,Me,fox,naive,English,short,animal,1.7917595
6,Me,moose,naive,English,long,animal,0
4,Me,dolphin,naive,English,long,animal,0
1,Me,ant,naive,English,short,animal,1.3862944
5,Me,hedgehog,naive,English,long,animal,0
4,Me,eagle,naive,English,long,animal,1.0986123
4,Me,sheep,naive,English,long,animal,2.3025851
2,Me,frog,naive,English,short,animal,2.0794415
7,Me,whale,naive,English,long,animal,1.0986123
6,Me,vulture,naive,English,long,animal,0
1,Me,avocado,naive,English,long,plant,0
2,Me,olive,naive,English,long,plant,1.0986123
4,Me,squid,naive,English,long,animal,0
3,Me,chicken,naive,English,long,animal,1.0986123
4,Me,mushroom,naive,English,long,plant,0.6931472
1,Me,strawberry,naive,English,long,plant,0
3,Me,lettuce,naive,English,long,plant,0
5,Me,badger,naive,English,long,animal,0.6931472
4,Me,pear,naive,English,short,plant,0
2,Me,paprika,naive,English,long,plant,0
2,Me,clove,naive,English,long,plant,0
3,Me,eggplant,naive,English,long,plant,0
3,Me,apple,naive,English,long,plant,1.0986123
3,Me,squirrel,naive,English,long,animal,0
1,Me,spider,naive,English,long,animal,0.6931472
4,Me,dog,naive,English,short,animal,3.1354942
1,Me,melon,naive,English,long,plant,1.0986123
1,Me,almond,naive,English,long,plant,0
4,Me,asparagus,naive,English,long,plant,0
4,Me,kiwi,naive,English,short,plant,0
3,Me,banana,naive,English,long,plant,0
4,Me,bunny,naive,English,long,animal,0
4,Me,tortoise,naive,English,long,animal,0
5,Me,pigeon,naive,English,long,animal,1.0986123
2,Ni,goose,naive,notEnglish,long,animal,1.7917595
1,Ni,magpie,naive,notEnglish,long,animal,0
1,Ni,lemon,naive,notEnglish,long,plant,0.6931472
3,Ni,snake,naive,notEnglish,long,animal,1.6094379
2,Ni,olive,naive,notEnglish,long,plant,1.0986123
4,Ni,tortoise,naive,notEnglish,long,animal,0
0,Ni,gherkin,naive,notEnglish,long,plant,0
2,Ni,dolphin,naive,notEnglish,long,animal,0
0,Ni,chicken,naive,notEnglish,long,animal,1.0986123
5,Ni,sheep,naive,notEnglish,long,animal,2.3025851
3,Ni,eggplant,naive,notEnglish,long,plant,0
0,Ni,ant,naive,notEnglish,short,animal,1.3862944
1,Ni,carrot,naive,notEnglish,long,plant,0.6931472
3,Ni,pigeon,naive,notEnglish,long,animal,1.0986123
2,Ni,paprika,naive,notEnglish,long,plant,0
2,Ni,spider,naive,notEnglish,long,animal,0.6931472
2,Ni,owl,naive,notEnglish,short,animal,1.3862944
6,Ni,shark,naive,notEnglish,long,animal,0.6931472
2,Ni,blackberry,naive,notEnglish,long,plant,0.6931472
5,Ni,reindeer,naive,notEnglish,long,animal,0
0,Ni,bat,naive,notEnglish,short,animal,2.1972246
5,Ni,fox,naive,notEnglish,short,animal,1.7917595
0,Ni,tomato,naive,notEnglish,long,plant,0
2,Ni,walnut,naive,notEnglish,long,plant,0
3,Ni,mouse,naive,notEnglish,long,animal,1.9459101
1,Ni,asparagus,naive,notEnglish,long,plant,0
1,Ni,kiwi,naive,notEnglish,short,plant,0
0,Ni,mushroom,naive,notEnglish,long,plant,0.6931472
0,Ni,peanut,naive,notEnglish,long,plant,0.6931472
3,Ni,bunny,naive,notEnglish,long,animal,0
0,Ni,mole,naive,notEnglish,short,animal,1.0986123
3,Ni,pineapple,naive,notEnglish,long,plant,0
0,Ni,bee,naive,notEnglish,short,animal,1.7917595
3,Ni,gull,naive,notEnglish,short,animal,1.6094379
1,Ni,cucumber,naive,notEnglish,long,plant,0
0,Ni,clove,naive,notEnglish,long,plant,0
1,Ni,butterfly,naive,notEnglish,long,animal,0
2,Ni,squirrel,naive,notEnglish,long,animal,0
3,Ni,goat,naive,notEnglish,short,animal,1.9459101
4,Ni,eagle,naive,notEnglish,long,animal,1.0986123
3,Ni,horse,naive,notEnglish,long,animal,3.3322045
1,Ni,radish,naive,notEnglish,long,plant,0.6931472
0,Ni,frog,naive,notEnglish,short,animal,2.0794415
4,Ni,camel,naive,notEnglish,long,animal,0.6931472
3,Ni,pear,naive,notEnglish,short,plant,0
2,Ni,badger,naive,notEnglish,long,animal,0.6931472
3,Ni,monkey,naive,notEnglish,long,animal,0
0,Ni,orange,naive,notEnglish,long,plant,1.3862944
3,Ni,mustard,naive,notEnglish,long,plant,0
1,Ni,cherry,naive,notEnglish,long,plant,0.6931472
7,Ni,whale,naive,notEnglish,long,animal,1.0986123
2,Ni,leek,naive,notEnglish,short,plant,0
1,Ni,wasp,naive,notEnglish,short,animal,1.3862944
3,Ni,cat,naive,notEnglish,short,animal,2.7725887
5,Ni,vulture,naive,notEnglish,long,animal,0
2,Ni,apple,naive,notEnglish,long,plant,1.0986123
1,Ni,banana,naive,notEnglish,long,plant,0
2,Ni,avocado,naive,notEnglish,long,plant,0
2,Ni,dog,naive,notEnglish,short,animal,3.1354942
1,Ni,beetroot,naive,notEnglish,long,plant,0
1,Ni,almond,naive,notEnglish,long,plant,0
3,Ni,hedgehog,naive,notEnglish,long,animal,0
3,Ni,swan,naive,notEnglish,short,animal,1.3862944
2,Ni,blueberry,naive,notEnglish,long,plant,0
4,Ni,crocodile,naive,notEnglish,long,animal,0
5,Ni,moose,naive,notEnglish,long,animal,0
3,Ni,broccoli,naive,notEnglish,long,plant,0
4,Ni,pig,naive,notEnglish,short,animal,2.7725887
5,Ni,stork,naive,notEnglish,long,animal,0
1,Ni,apricot,naive,notEnglish,long,plant,0
2,Ni,donkey,naive,notEnglish,long,animal,0
2,Ni,grape,naive,notEnglish,long,plant,1.0986123
2,Ni,melon,naive,notEnglish,long,plant,1.0986123
6,Ni,lion,naive,notEnglish,short,animal,1.0986123
8,Ni,elephant,naive,notEnglish,long,animal,0.6931472
1,Ni,beaver,naive,notEnglish,long,animal,0
0,Ni,woodpecker,naive,notEnglish,long,animal,0
1,Ni,potato,naive,notEnglish,long,plant,0
2,Ni,lettuce,naive,notEnglish,long,plant,0
2,Ni,strawberry,naive,notEnglish,long,plant,0
5,Ni,squid,naive,notEnglish,long,animal,0
1,To,spider,naive,English,long,animal,0.6931472
4,To,melon,naive,English,long,plant,1.0986123
2,To,banana,naive,English,long,plant,0
3,To,badger,naive,English,long,animal,0.6931472
2,To,butterfly,naive,English,long,animal,0
3,To,pigeon,naive,English,long,animal,1.0986123
3,To,grape,naive,English,long,plant,1.0986123
2,To,broccoli,naive,English,long,plant,0
3,To,woodpecker,naive,English,long,animal,0
5,To,squid,naive,English,long,animal,0
2,To,swan,naive,English,short,animal,1.3862944
2,To,mushroom,naive,English,long,plant,0.6931472
4,To,asparagus,naive,English,long,plant,0
2,To,goose,naive,English,long,animal,1.7917595
5,To,vulture,naive,English,long,animal,0
4,To,bunny,naive,English,long,animal,0
5,To,lion,naive,English,short,animal,1.0986123
4,To,leek,naive,English,short,plant,0
3,To,mole,naive,English,short,animal,1.0986123
2,To,beetroot,naive,English,long,plant,0
3,To,frog,naive,English,short,animal,2.0794415
4,To,moose,naive,English,long,animal,0
3,To,stork,naive,English,long,animal,0
3,To,hedgehog,naive,English,long,animal,0
6,To,shark,naive,English,long,animal,0.6931472
2,To,pear,naive,English,short,plant,0
4,To,radish,naive,English,long,plant,0.6931472
3,To,horse,naive,English,long,animal,3.3322045
2,To,owl,naive,English,short,animal,1.3862944
1,To,apricot,naive,English,long,plant,0
2,To,snake,naive,English,long,animal,1.6094379
2,To,bee,naive,English,short,animal,1.7917595
3,To,blueberry,naive,English,long,plant,0
3,To,camel,naive,English,long,animal,0.6931472
2,To,cucumber,naive,English,long,plant,0
4,To,chicken,naive,English,long,animal,1.0986123
5,To,crocodile,naive,English,long,animal,0
3,To,potato,naive,English,long,plant,0
2,To,peanut,naive,English,long,plant,0.6931472
7,To,whale,naive,English,long,animal,1.0986123
2,To,monkey,naive,English,long,animal,0
4,To,beaver,naive,English,long,animal,0
4,To,orange,naive,English,long,plant,1.3862944
4,To,bat,naive,English,short,animal,2.1972246
1,To,ant,naive,English,short,animal,1.3862944
3,To,dolphin,naive,English,long,animal,0
6,To,elephant,naive,English,long,animal,0.6931472
3,To,pig,naive,English,short,animal,2.7725887
2,To,magpie,naive,English,long,animal,0
2,To,mustard,naive,English,long,plant,0
5,To,reindeer,naive,English,long,animal,0
3,To,wasp,naive,English,short,animal,1.3862944
2,To,mouse,naive,English,long,animal,1.9459101
3,To,olive,naive,English,long,plant,1.0986123
3,To,sheep,naive,English,long,animal,2.3025851
4,To,paprika,naive,English,long,plant,0
3,To,avocado,naive,English,long,plant,0
3,To,donkey,naive,English,long,animal,0
2,To,eggplant,naive,English,long,plant,0
3,To,carrot,naive,English,long,plant,0.6931472
5,To,cat,naive,English,short,animal,2.7725887
5,To,dog,naive,English,short,animal,3.1354942
3,To,almond,naive,English,long,plant,0
2,To,apple,naive,English,long,plant,1.0986123
2,To,lettuce,naive,English,long,plant,0
3,To,strawberry,naive,English,long,plant,0
2,To,lemon,naive,English,long,plant,0.6931472
2,To,walnut,naive,English,long,plant,0
1,To,blackberry,naive,English,long,plant,0.6931472
3,To,gull,naive,English,short,animal,1.6094379
4,To,clove,naive,English,long,plant,0
4,To,gherkin,naive,English,long,plant,0
4,To,fox,naive,English,short,animal,1.7917595
3,To,pineapple,naive,English,long,plant,0
2,To,cherry,naive,English,long,plant,0.6931472
4,To,tomato,naive,English,long,plant,0
4,To,goat,naive,English,short,animal,1.9459101
4,To,eagle,naive,English,long,animal,1.0986123
3,To,tortoise,naive,English,long,animal,0
3,To,kiwi,naive,English,short,plant,0
