Item,Intended Word,Condition,Intended Completion,Total Completions
87,splinter,SemCrit,34,36
87,splinter,Synt,35,37
88,spinster,Sem,2,36
88,spinster,SemCrit,27,37
88,spinster,Synt,32,37
89,stipulation,Sem,1,36
89,stipulation,SemCrit,30,37
89,stipulation,Synt,37,38
90,stimulation,Sem,8,35
90,stimulation,SemCrit,32,37
90,stimulation,Synt,33,37
91,immunity,Sem,27,37
91,immunity,SemCrit,37,38
91,immunity,Synt,36,38
92,mutiny,Sem,22,37
92,mutiny,SemCrit,30,36
92,mutiny,Synt,37,37
93,mortar,Sem,26,35
93,mortar,SemCrit,35,39
93,mortar,Synt,35,37
94,mortal,Sem,22,34
94,mortal,SemCrit,36,36
94,mortal,Synt,35,37
95,abbreviation,Sem,8,37
95,abbreviation,SemCrit,23,32
95,abbreviation,Synt,23,34
96,inebriation,Sem,4,36
96,inebriation,SemCrit,17,37
96,inebriation,Synt,26,35
99,addition,Sem,35,37
99,addition,SemCrit,38,39
99,addition,Synt,33,33
100,audition,Sem,0,33
100,audition,SemCrit,31,36
100,audition,Synt,35,37
101,admission,Sem,13,37
101,admission,SemCrit,34,34
101,admission,Synt,34,34
102,admonition,Sem,1,37
102,admonition,SemCrit,17,38
102,admonition,Synt,22,34
105,altitude,Sem,21,36
105,altitude,SemCrit,36,36
105,altitude,Synt,32,33
106,attitude,Sem,21,34
106,attitude,SemCrit,37,37
106,attitude,Synt,38,38
107,alumni,Sem,22,37
107,alumni,SemCrit,33,35
107,alumni,Synt,34,35
108,aluminum,Sem,31,35
108,aluminum,SemCrit,36,36
108,aluminum,Synt,34,34
113,armaments,Sem,6,38
113,armaments,SemCrit,14,34
113,armaments,Synt,13,36
114,ornaments,Sem,24,35
114,ornaments,SemCrit,36,37
114,ornaments,Synt,33,33
115,arsenal,Sem,3,33
115,arsenal,SemCrit,34,38
115,arsenal,Synt,37,39
116,arsenic,Sem,1,39
116,arsenic,SemCrit,27,33
116,arsenic,Synt,35,35
117,baloney,Sem,17,36
117,baloney,SemCrit,34,37
117,baloney,Synt,36,36
118,balcony,Sem,29,34
118,balcony,SemCrit,38,38
118,balcony,Synt,36,36
119,boundary,Sem,7,37
119,boundary,SemCrit,26,37
119,boundary,Synt,35,37
120,bounty,Sem,7,37
120,bounty,SemCrit,37,38
120,bounty,Synt,31,34
121,champagne,Sem,19,32
121,champagne,SemCrit,36,36
121,champagne,Synt,37,37
122,campaign,Sem,23,36
122,campaign,SemCrit,34,34
122,campaign,Synt,35,36
123,inference,Sem,0,36
123,inference,SemCrit,15,39
123,inference,Synt,24,34
124,inferno,Sem,12,33
124,inferno,SemCrit,30,36
124,inferno,Synt,38,38
125,consciousness,Sem,31,36
125,consciousness,SemCrit,30,34
125,consciousness,Synt,36,36
126,conscience,Sem,27,37
126,conscience,SemCrit,35,37
126,conscience,Synt,34,35
127,consternation,Sem,0,34
127,consternation,SemCrit,13,36
127,consternation,Synt,26,36
128,constellation,Sem,32,36
128,constellation,SemCrit,34,35
128,constellation,Synt,35,37
129,pasture,Sem,10,34
129,pasture,SemCrit,36,37
129,pasture,Synt,35,35
130,pastor,Sem,3,31
130,pastor,SemCrit,36,37
130,pastor,Synt,37,37
131,mercenary,Sem,22,37
131,mercenary,SemCrit,27,32
131,mercenary,Synt,36,37
132,missionary,Sem,23,38
132,missionary,SemCrit,35,39
132,missionary,Synt,34,34
133,dalmation,Sem,25,36
133,dalmation,SemCrit,38,38
133,dalmation,Synt,37,37
134,damnation,Sem,4,36
134,damnation,SemCrit,30,34
134,damnation,Synt,36,38
135,density,Sem,21,37
135,density,SemCrit,36,36
135,density,Synt,32,33
136,destiny,Sem,20,33
136,destiny,SemCrit,36,36
136,destiny,Synt,38,38
137,message,Sem,33,38
137,message,SemCrit,35,35
137,message,Synt,35,35
138,massage,Sem,16,36
138,massage,SemCrit,39,39
138,massage,Synt,35,35
139,diploma,Sem,22,33
139,diploma,SemCrit,37,37
139,diploma,Synt,36,37
140,diplomat,Sem,2,37
140,diplomat,SemCrit,35,37
140,diplomat,Synt,37,38
143,duration,Sem,12,36
143,duration,SemCrit,20,33
143,duration,Synt,35,36
144,adoration,Sem,3,35
144,adoration,SemCrit,14,37
144,adoration,Synt,25,33
145,dynasty,Sem,19,33
145,dynasty,SemCrit,31,36
145,dynasty,Synt,36,37
146,dynamite,Sem,31,36
146,dynamite,SemCrit,32,33
146,dynamite,Synt,37,37
147,apostrophe,Sem,30,38
147,apostrophe,SemCrit,37,37
147,apostrophe,Synt,33,33
148,apocalypse,Sem,7,32
148,apocalypse,SemCrit,23,36
148,apocalypse,Synt,36,37
149,musket,Sem,6,37
149,musket,SemCrit,29,33
149,musket,Synt,34,34
150,muskrat,Sem,11,36
150,muskrat,SemCrit,33,38
150,muskrat,Synt,33,35
151,pedal,Sem,26,31
151,pedal,SemCrit,38,38
151,pedal,Synt,38,38
152,petal,Sem,29,37
152,petal,SemCrit,31,34
152,petal,Synt,37,37
153,escalation,Sem,1,33
153,escalation,SemCrit,32,38
153,escalation,Synt,34,36
154,escalator,Sem,22,34
154,escalator,SemCrit,35,36
154,escalator,Synt,37,38
155,parasite,Sem,23,37
155,parasite,SemCrit,32,35
155,parasite,Synt,35,37
156,parasol,Sem,14,34
156,parasol,SemCrit,27,38
156,parasol,Synt,33,36
157,expectation,Sem,24,34
157,expectation,SemCrit,31,37
157,expectation,Synt,33,36
158,expedition,Sem,17,36
158,expedition,SemCrit,25,35
158,expedition,Synt,34,35
159,fallacy,Sem,0,35
159,fallacy,SemCrit,24,37
159,fallacy,Synt,34,36
160,facility,Sem,21,34
160,facility,SemCrit,35,36
160,facility,Synt,38,38
1,veteran,Sem,36,38
1,veteran,SemCrit,36,36
1,veteran,Synt,36,36
2,veterinarian,Sem,30,35
2,veterinarian,SemCrit,37,37
2,veterinarian,Synt,32,34
23,rhino,Sem,0,37
23,rhino,SemCrit,37,37
23,rhino,Synt,31,35
24,rhinestone,Sem,0,33
24,rhinestone,SemCrit,19,36
24,rhinestone,Synt,34,38
43,phonology,Sem,5,32
43,phonology,SemCrit,19,37
43,phonology,Synt,23,38
44,phrenology,Sem,20,38
44,phrenology,SemCrit,24,35
44,phrenology,Synt,34,36
71,thermos,Sem,21,38
71,thermos,SemCrit,37,38
71,thermos,Synt,34,36
72,thermal,Sem,6,30
72,thermal,SemCrit,16,37
72,thermal,Synt,18,38
85,cartoon,Sem,32,38
85,cartoon,SemCrit,34,34
85,cartoon,Synt,36,36
86,carton,Sem,19,35
86,carton,SemCrit,36,37
86,carton,Synt,33,34
97,caption,Sem,12,33
97,caption,SemCrit,33,35
97,caption,Synt,38,39
98,captain,Sem,14,35
98,captain,SemCrit,34,34
98,captain,Synt,36,38
103,carburetor,Sem,21,36
103,carburetor,SemCrit,30,37
103,carburetor,Synt,31,33
104,cabaret,Sem,2,30
104,cabaret,SemCrit,13,34
104,cabaret,Synt,33,37
109,carriage,Sem,33,37
109,carriage,SemCrit,35,35
109,carriage,Synt,36,36
110,cartridge,Sem,32,36
110,cartridge,SemCrit,39,39
110,cartridge,Synt,31,33
111,radium,Sem,3,35
111,radium,SemCrit,16,36
111,radium,Synt,33,38
112,radius,Sem,1,37
112,radius,SemCrit,29,34
112,radius,Synt,31,36
141,leisure,Sem,5,36
141,leisure,SemCrit,30,37
141,leisure,Synt,29,34
142,lesion,Sem,1,32
142,lesion,SemCrit,26,36
142,lesion,Synt,36,38
